record_id,unit_id,org_id,po_number,po_line,supplier,sku,asin,product_title,spec_colour,spec_variant,spec_components,cartons_ordered,cartons_received,units_per_carton_ordered,units_per_carton_counted,qty_ordered,qty_received,identity_match,carton_damage,unit_damage,quality_flags,photo_refs,operator_id,captured_at
RCV-0011,UNIT-0011,org_demo_alpha,PO-7002,4,Supplier East (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,1,1,24,24,24,24,yes,none,none,,fixtures/receiving/UNIT-0011_pallet.jpg;fixtures/receiving/UNIT-0011_carton.jpg;fixtures/receiving/UNIT-0011_unit.jpg,op_eli,2026-06-04T23:12:00Z
RCV-0012,UNIT-0012,org_demo_bravo,PO-7003,1,Supplier East (DUMMY),SKU-MUG-11,B0DUMMY351,"Ceramic Mug 11oz, set of 2",white,11oz,mug x2,2,2,12,12,24,24,yes,none,none,,fixtures/receiving/UNIT-0012_pallet.jpg;fixtures/receiving/UNIT-0012_carton.jpg;fixtures/receiving/UNIT-0012_unit.jpg,op_eli,2026-06-04T06:34:00Z
RCV-0013,UNIT-0013,org_demo_alpha,PO-7003,2,Supplier Coastal (DUMMY),SKU-LEASH-6FT,B0DUMMY205,Nylon Dog Leash,red,6ft,leash,2,2,6,6,12,12,yes,none,none,,fixtures/receiving/UNIT-0013_pallet.jpg;fixtures/receiving/UNIT-0013_carton.jpg;fixtures/receiving/UNIT-0013_unit.jpg,op_dana,2026-06-07T07:53:00Z
RCV-0014,UNIT-0014,org_demo_alpha,PO-7003,3,Supplier Coastal (DUMMY),SKU-LAMP-LED,B0DUMMY357,LED Desk Lamp,grey,standard,lamp;usb cable;manual,2,2,12,12,24,24,yes,none,none,,fixtures/receiving/UNIT-0014_pallet.jpg;fixtures/receiving/UNIT-0014_carton.jpg;fixtures/receiving/UNIT-0014_unit.jpg,op_amira,2026-06-04T14:36:00Z
RCV-0015,UNIT-0015,org_demo_bravo,PO-7003,4,Supplier Coastal (DUMMY),SKU-MUG-11,B0DUMMY351,"Ceramic Mug 11oz, set of 2",white,11oz,mug x2,1,1,12,12,12,12,yes,none,none,,fixtures/receiving/UNIT-0015_pallet.jpg;fixtures/receiving/UNIT-0015_carton.jpg;fixtures/receiving/UNIT-0015_unit.jpg,op_chen,2026-06-10T07:23:00Z
RCV-0016,UNIT-0016,org_demo_alpha,PO-7004,1,Supplier East (DUMMY),SKU-TOWEL-BLU,B0DUMMY600,Cotton Bath Towel,blue,bath,towel,4,4,12,12,48,48,yes,none,none,,fixtures/receiving/UNIT-0016_pallet.jpg;fixtures/receiving/UNIT-0016_carton.jpg;fixtures/receiving/UNIT-0016_unit.jpg,op_ben,2026-06-09T22:31:00Z
RCV-0017,UNIT-0017,org_demo_alpha,PO-7004,2,Supplier East (DUMMY),SKU-CANDLE-3,B0DUMMY964,Soy Candle Trio,cream,3-pack,candle x3;gift box,2,2,12,12,24,24,yes,none,none,,fixtures/receiving/UNIT-0017_pallet.jpg;fixtures/receiving/UNIT-0017_carton.jpg;fixtures/receiving/UNIT-0017_unit.jpg,op_fatima,2026-06-02T20:35:00Z
RCV-0018,UNIT-0018,org_demo_bravo,PO-7004,3,Supplier North (DUMMY),SKU-BOTTLE-750,B0DUMMY622,Steel Water Bottle,black,750ml,bottle;lid,4,4,12,12,48,48,yes,none,none,obvious_defect,fixtures/receiving/UNIT-0018_pallet.jpg;fixtures/receiving/UNIT-0018_carton.jpg;fixtures/receiving/UNIT-0018_unit.jpg,op_fatima,2026-06-07T07:44:00Z
RCV-0019,UNIT-0019,org_demo_alpha,PO-7004,4,Supplier East (DUMMY),SKU-TOWEL-BLU,B0DUMMY600,Cotton Bath Towel,blue,bath,towel,1,1,6,6,6,6,yes,none,none,,fixtures/receiving/UNIT-0019_pallet.jpg;fixtures/receiving/UNIT-0019_carton.jpg;fixtures/receiving/UNIT-0019_unit.jpg,op_eli,2026-06-01T15:17:00Z
RCV-0020,UNIT-0020,org_demo_alpha,PO-7005,1,Supplier Coastal (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,1,1,12,12,12,12,yes,none,none,,fixtures/receiving/UNIT-0020_pallet.jpg;fixtures/receiving/UNIT-0020_carton.jpg;fixtures/receiving/UNIT-0020_unit.jpg,op_eli,2026-06-04T13:13:00Z
RCV-0021,UNIT-0021,org_demo_bravo,PO-7005,2,Supplier East (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,1,1,24,23,24,23,yes,none,none,,fixtures/receiving/UNIT-0021_pallet.jpg;fixtures/receiving/UNIT-0021_carton.jpg;fixtures/receiving/UNIT-0021_unit.jpg,op_fatima,2026-06-10T14:24:00Z
RCV-0022,UNIT-0022,org_demo_alpha,PO-7005,3,Supplier North (DUMMY),SKU-SERUM-30,B0DUMMY031,Vitamin C Face Serum 30ml,amber,30ml,bottle;dropper;leaflet,2,2,6,6,12,12,yes,none,none,,fixtures/receiving/UNIT-0022_pallet.jpg;fixtures/receiving/UNIT-0022_carton.jpg;fixtures/receiving/UNIT-0022_unit.jpg,op_eli,2026-06-04T04:34:00Z
RCV-0023,UNIT-0023,org_demo_alpha,PO-7005,4,Supplier East (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,4,4,12,12,48,48,yes,none,none,,fixtures/receiving/UNIT-0023_pallet.jpg;fixtures/receiving/UNIT-0023_carton.jpg;fixtures/receiving/UNIT-0023_unit.jpg,op_dana,2026-06-03T08:55:00Z
RCV-0024,UNIT-0024,org_demo_bravo,PO-7006,1,Supplier East (DUMMY),SKU-BOTTLE-750,B0DUMMY622,Steel Water Bottle,black,750ml,bottle;lid,2,2,6,6,12,12,yes,none,none,,fixtures/receiving/UNIT-0024_pallet.jpg;fixtures/receiving/UNIT-0024_carton.jpg;fixtures/receiving/UNIT-0024_unit.jpg,op_eli,2026-06-04T09:47:00Z
RCV-0025,UNIT-0025,org_demo_alpha,PO-7006,2,Supplier Coastal (DUMMY),SKU-TOWEL-BLU,B0DUMMY600,Cotton Bath Towel,blue,bath,towel,4,3,6,6,24,18,yes,none,none,,fixtures/receiving/UNIT-0025_pallet.jpg;fixtures/receiving/UNIT-0025_carton.jpg;fixtures/receiving/UNIT-0025_unit.jpg,op_amira,2026-06-10T00:17:00Z
RCV-0026,UNIT-0026,org_demo_alpha,PO-7006,3,Supplier North (DUMMY),SKU-BOTTLE-750,B0DUMMY622,Steel Water Bottle,black,750ml,bottle;lid,4,4,12,12,48,48,yes,none,none,,fixtures/receiving/UNIT-0026_pallet.jpg;fixtures/receiving/UNIT-0026_carton.jpg;fixtures/receiving/UNIT-0026_unit.jpg,op_eli,2026-06-06T08:15:00Z
RCV-0027,UNIT-0027,org_demo_bravo,PO-7006,4,Supplier North (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,4,3,24,24,96,72,yes,uncertain,none,,fixtures/receiving/UNIT-0027_pallet.jpg;fixtures/receiving/UNIT-0027_carton.jpg;fixtures/receiving/UNIT-0027_unit.jpg,op_dana,2026-06-04T16:17:00Z
RCV-0028,UNIT-0028,org_demo_alpha,PO-7007,1,Supplier North (DUMMY),SKU-PROT-1KG,B0DUMMY357,Whey Protein,n/a,1kg vanilla,tub;scoop,1,1,6,6,6,6,yes,none,none,,fixtures/receiving/UNIT-0028_pallet.jpg;fixtures/receiving/UNIT-0028_carton.jpg;fixtures/receiving/UNIT-0028_unit.jpg,op_fatima,2026-06-10T07:32:00Z
RCV-0029,UNIT-0029,org_demo_alpha,PO-7007,2,Supplier East (DUMMY),SKU-TOWEL-BLU,B0DUMMY600,Cotton Bath Towel,blue,bath,towel,4,4,12,12,48,48,uncertain,none,none,,fixtures/receiving/UNIT-0029_pallet.jpg;fixtures/receiving/UNIT-0029_carton.jpg;fixtures/receiving/UNIT-0029_unit.jpg,op_fatima,2026-06-03T22:02:00Z
RCV-0030,UNIT-0030,org_demo_bravo,PO-7007,3,Supplier Coastal (DUMMY),SKU-SERUM-30,B0DUMMY031,Vitamin C Face Serum 30ml,amber,30ml,bottle;dropper;leaflet,2,2,6,6,12,12,yes,none,none,,fixtures/receiving/UNIT-0030_pallet.jpg;fixtures/receiving/UNIT-0030_carton.jpg;fixtures/receiving/UNIT-0030_unit.jpg,op_fatima,2026-06-06T14:35:00Z
RCV-0031,UNIT-0031,org_demo_alpha,PO-7007,4,Supplier North (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,2,2,24,24,48,48,yes,none,none,,fixtures/receiving/UNIT-0031_pallet.jpg;fixtures/receiving/UNIT-0031_carton.jpg;fixtures/receiving/UNIT-0031_unit.jpg,op_chen,2026-06-11T08:16:00Z
RCV-0032,UNIT-0032,org_demo_alpha,PO-7008,1,Supplier Coastal (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,1,1,12,12,12,12,yes,none,none,,fixtures/receiving/UNIT-0032_pallet.jpg;fixtures/receiving/UNIT-0032_carton.jpg;fixtures/receiving/UNIT-0032_unit.jpg,op_eli,2026-06-03T17:55:00Z
RCV-0033,UNIT-0033,org_demo_bravo,PO-7008,2,Supplier Coastal (DUMMY),SKU-PROT-1KG,B0DUMMY357,Whey Protein,n/a,1kg vanilla,tub;scoop,1,1,24,24,24,24,yes,none,none,,fixtures/receiving/UNIT-0033_pallet.jpg;fixtures/receiving/UNIT-0033_carton.jpg;fixtures/receiving/UNIT-0033_unit.jpg,op_eli,2026-06-08T14:03:00Z
RCV-0034,UNIT-0034,org_demo_alpha,PO-7008,3,Supplier North (DUMMY),SKU-CANDLE-3,B0DUMMY964,Soy Candle Trio,cream,3-pack,candle x3;gift box,1,1,6,6,6,6,yes,none,none,,fixtures/receiving/UNIT-0034_pallet.jpg;fixtures/receiving/UNIT-0034_carton.jpg;fixtures/receiving/UNIT-0034_unit.jpg,op_eli,2026-06-10T13:47:00Z
RCV-0035,UNIT-0035,org_demo_alpha,PO-7008,4,Supplier North (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,4,4,6,6,24,24,yes,none,none,,fixtures/receiving/UNIT-0035_pallet.jpg;fixtures/receiving/UNIT-0035_carton.jpg;fixtures/receiving/UNIT-0035_unit.jpg,op_eli,2026-06-02T09:41:00Z
RCV-0036,UNIT-0036,org_demo_bravo,PO-7009,1,Supplier Coastal (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,1,1,12,11,12,11,yes,crushing,none,,fixtures/receiving/UNIT-0036_pallet.jpg;fixtures/receiving/UNIT-0036_carton.jpg;fixtures/receiving/UNIT-0036_unit.jpg,op_amira,2026-06-06T22:15:00Z
RCV-0037,UNIT-0037,org_demo_alpha,PO-7009,2,Supplier Coastal (DUMMY),SKU-BOTTLE-750,B0DUMMY622,Steel Water Bottle,black,750ml,bottle;lid,1,1,6,6,6,6,yes,none,none,,fixtures/receiving/UNIT-0037_pallet.jpg;fixtures/receiving/UNIT-0037_carton.jpg;fixtures/receiving/UNIT-0037_unit.jpg,op_fatima,2026-06-04T15:07:00Z
RCV-0038,UNIT-0038,org_demo_alpha,PO-7009,3,Supplier East (DUMMY),SKU-PROT-1KG,B0DUMMY357,Whey Protein,n/a,1kg vanilla,tub;scoop,1,1,12,12,12,12,yes,none,none,,fixtures/receiving/UNIT-0038_pallet.jpg;fixtures/receiving/UNIT-0038_carton.jpg;fixtures/receiving/UNIT-0038_unit.jpg,op_amira,2026-06-07T13:20:00Z
RCV-0039,UNIT-0039,org_demo_bravo,PO-7009,4,Supplier North (DUMMY),SKU-SERUM-30,B0DUMMY031,Vitamin C Face Serum 30ml,amber,30ml,bottle;dropper;leaflet,4,4,6,6,24,24,yes,none,none,,fixtures/receiving/UNIT-0039_pallet.jpg;fixtures/receiving/UNIT-0039_carton.jpg;fixtures/receiving/UNIT-0039_unit.jpg,op_eli,2026-06-02T11:55:00Z
RCV-0040,UNIT-0040,org_demo_alpha,PO-7010,1,Supplier East (DUMMY),SKU-LEASH-6FT,B0DUMMY205,Nylon Dog Leash,red,6ft,leash,2,1,24,24,48,24,yes,none,none,,fixtures/receiving/UNIT-0040_pallet.jpg;fixtures/receiving/UNIT-0040_carton.jpg;fixtures/receiving/UNIT-0040_unit.jpg,op_amira,2026-06-04T18:10:00Z
RCV-0041,UNIT-0041,org_demo_alpha,PO-7010,2,Supplier North (DUMMY),SKU-LEASH-6FT,B0DUMMY205,Nylon Dog Leash,red,6ft,leash,1,1,6,6,6,6,yes,none,none,,fixtures/receiving/UNIT-0041_pallet.jpg;fixtures/receiving/UNIT-0041_carton.jpg;fixtures/receiving/UNIT-0041_unit.jpg,op_ben,2026-06-06T06:35:00Z
RCV-0042,UNIT-0042,org_demo_bravo,PO-7010,3,Supplier North (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,1,1,12,12,12,12,yes,water,uncertain,,fixtures/receiving/UNIT-0042_pallet.jpg;fixtures/receiving/UNIT-0042_carton.jpg;fixtures/receiving/UNIT-0042_unit.jpg,op_eli,2026-06-02T02:30:00Z
RCV-0043,UNIT-0043,org_demo_alpha,PO-7010,4,Supplier East (DUMMY),SKU-LAMP-LED,B0DUMMY357,LED Desk Lamp,grey,standard,lamp;usb cable;manual,4,4,12,12,48,48,yes,none,none,,fixtures/receiving/UNIT-0043_pallet.jpg;fixtures/receiving/UNIT-0043_carton.jpg;fixtures/receiving/UNIT-0043_unit.jpg,op_eli,2026-06-08T23:31:00Z
RCV-0044,UNIT-0044,org_demo_alpha,PO-7011,1,Supplier East (DUMMY),SKU-CANDLE-3,B0DUMMY964,Soy Candle Trio,cream,3-pack,candle x3;gift box,1,1,24,24,24,24,yes,none,none,,fixtures/receiving/UNIT-0044_pallet.jpg;fixtures/receiving/UNIT-0044_carton.jpg;fixtures/receiving/UNIT-0044_unit.jpg,op_ben,2026-06-03T04:25:00Z
RCV-0045,UNIT-0045,org_demo_bravo,PO-7011,2,Supplier East (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,1,1,12,11,12,11,yes,crushing,uncertain,,fixtures/receiving/UNIT-0045_pallet.jpg;fixtures/receiving/UNIT-0045_carton.jpg;fixtures/receiving/UNIT-0045_unit.jpg,op_chen,2026-06-02T06:54:00Z
RCV-0046,UNIT-0046,org_demo_alpha,PO-7011,3,Supplier East (DUMMY),SKU-TOWEL-BLU,B0DUMMY600,Cotton Bath Towel,blue,bath,towel,1,1,24,24,24,24,yes,tears,tears,,fixtures/receiving/UNIT-0046_pallet.jpg;fixtures/receiving/UNIT-0046_carton.jpg;fixtures/receiving/UNIT-0046_unit.jpg,op_chen,2026-06-08T18:43:00Z
RCV-0047,UNIT-0047,org_demo_alpha,PO-7011,4,Supplier East (DUMMY),SKU-MUG-11,B0DUMMY351,"Ceramic Mug 11oz, set of 2",white,11oz,mug x2,2,2,24,24,48,48,no,none,none,wrong_colour;obvious_defect,fixtures/receiving/UNIT-0047_pallet.jpg;fixtures/receiving/UNIT-0047_carton.jpg;fixtures/receiving/UNIT-0047_unit.jpg,op_fatima,2026-06-03T05:25:00Z
RCV-0048,UNIT-0048,org_demo_bravo,PO-7012,1,Supplier North (DUMMY),SKU-CANDLE-3,B0DUMMY964,Soy Candle Trio,cream,3-pack,candle x3;gift box,4,4,12,12,48,48,yes,none,none,,fixtures/receiving/UNIT-0048_pallet.jpg;fixtures/receiving/UNIT-0048_carton.jpg;fixtures/receiving/UNIT-0048_unit.jpg,op_chen,2026-06-06T03:02:00Z
RCV-0049,UNIT-0049,org_demo_alpha,PO-7012,2,Supplier East (DUMMY),SKU-SERUM-30,B0DUMMY031,Vitamin C Face Serum 30ml,amber,30ml,bottle;dropper;leaflet,1,1,24,24,24,24,yes,water,none,missing_components,fixtures/receiving/UNIT-0049_pallet.jpg;fixtures/receiving/UNIT-0049_carton.jpg;fixtures/receiving/UNIT-0049_unit.jpg,op_ben,2026-06-05T19:28:00Z
RCV-0050,UNIT-0050,org_demo_alpha,PO-7012,3,Supplier East (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,4,4,24,24,96,96,yes,tears,crushing,,fixtures/receiving/UNIT-0050_pallet.jpg;fixtures/receiving/UNIT-0050_carton.jpg;fixtures/receiving/UNIT-0050_unit.jpg,op_chen,2026-06-10T15:07:00Z
RCV-0051,UNIT-0051,org_demo_bravo,PO-7012,4,Supplier North (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,4,3,6,6,24,18,yes,uncertain,none,,fixtures/receiving/UNIT-0051_pallet.jpg;fixtures/receiving/UNIT-0051_carton.jpg;fixtures/receiving/UNIT-0051_unit.jpg,op_chen,2026-06-05T13:51:00Z
RCV-0052,UNIT-0052,org_demo_alpha,PO-7013,1,Supplier Coastal (DUMMY),SKU-TOWEL-BLU,B0DUMMY600,Cotton Bath Towel,blue,bath,towel,2,1,24,24,48,24,yes,tears,none,,fixtures/receiving/UNIT-0052_pallet.jpg;fixtures/receiving/UNIT-0052_carton.jpg;fixtures/receiving/UNIT-0052_unit.jpg,op_ben,2026-06-07T02:33:00Z
RCV-0053,UNIT-0053,org_demo_alpha,PO-7013,2,Supplier Coastal (DUMMY),SKU-CABLE-USBC,B0DUMMY261,USB-C Cable,white,2m,cable,4,4,6,6,24,24,yes,none,none,,fixtures/receiving/UNIT-0053_pallet.jpg;fixtures/receiving/UNIT-0053_carton.jpg;fixtures/receiving/UNIT-0053_unit.jpg,op_eli,2026-06-08T00:06:00Z
RCV-0054,UNIT-0054,org_demo_bravo,PO-7013,3,Supplier Coastal (DUMMY),SKU-MUG-11,B0DUMMY351,"Ceramic Mug 11oz, set of 2",white,11oz,mug x2,2,2,6,6,12,12,yes,none,none,,fixtures/receiving/UNIT-0054_pallet.jpg;fixtures/receiving/UNIT-0054_carton.jpg;fixtures/receiving/UNIT-0054_unit.jpg,op_chen,2026-06-09T03:45:00Z
RCV-0055,UNIT-0055,org_demo_alpha,PO-7013,4,Supplier North (DUMMY),SKU-MUG-11,B0DUMMY351,"Ceramic Mug 11oz, set of 2",white,11oz,mug x2,1,1,6,6,6,6,yes,none,none,,fixtures/receiving/UNIT-0055_pallet.jpg;fixtures/receiving/UNIT-0055_carton.jpg;fixtures/receiving/UNIT-0055_unit.jpg,op_ben,2026-06-03T00:06:00Z
RCV-0056,UNIT-0056,org_demo_alpha,PO-7014,1,Supplier East (DUMMY),SKU-SERUM-30,B0DUMMY031,Vitamin C Face Serum 30ml,amber,30ml,bottle;dropper;leaflet,1,1,6,6,6,6,yes,crushing,crushing,,fixtures/receiving/UNIT-0056_pallet.jpg;fixtures/receiving/UNIT-0056_carton.jpg;fixtures/receiving/UNIT-0056_unit.jpg,op_eli,2026-06-09T03:07:00Z
RCV-0057,UNIT-0057,org_demo_bravo,PO-7014,2,Supplier North (DUMMY),SKU-PROT-1KG,B0DUMMY357,Whey Protein,n/a,1kg vanilla,tub;scoop,2,2,12,12,24,24,yes,crushing,none,,fixtures/receiving/UNIT-0057_pallet.jpg;fixtures/receiving/UNIT-0057_carton.jpg;fixtures/receiving/UNIT-0057_unit.jpg,op_chen,2026-06-04T15:16:00Z
RCV-0058,UNIT-0058,org_demo_alpha,PO-7014,3,Supplier North (DUMMY),SKU-PUZZLE-500,B0DUMMY729,Jigsaw Puzzle 500pc,n/a,500pc,puzzle pieces;poster,4,4,6,6,24,24,yes,none,none,,fixtures/receiving/UNIT-0058_pallet.jpg;fixtures/receiving/UNIT-0058_carton.jpg;fixtures/receiving/UNIT-0058_unit.jpg,op_amira,2026-06-10T08:30:00Z
RCV-0059,UNIT-0059,org_demo_alpha,PO-7014,4,Supplier North (DUMMY),SKU-CANDLE-3,B0DUMMY964,Soy Candle Trio,cream,3-pack,candle x3;gift box,1,1,24,24,24,24,yes,none,none,,fixtures/receiving/UNIT-0059_pallet.jpg;fixtures/receiving/UNIT-0059_carton.jpg;fixtures/receiving/UNIT-0059_unit.jpg,op_fatima,2026-06-02T04:26:00Z
RCV-0060,UNIT-0060,org_demo_bravo,PO-7015,1,Supplier Coastal (DUMMY),SKU-SERUM-30,B0DUMMY031,Vitamin C Face Serum 30ml,amber,30ml,bottle;dropper;leaflet,1,1,6,6,6,6,no,none,none,wrong_variant,fixtures/receiving/UNIT-0060_pallet.jpg;fixtures/receiving/UNIT-0060_carton.jpg;fixtures/receiving/UNIT-0060_unit.jpg,op_eli,2026-06-09T09:32:00Z
RCV-0061,UNIT-0061,org_demo_alpha,PO-7015,2,Supplier East (DUMMY),SKU-PROT-1KG,B0DUMMY357,Whey Protein,n/a,1kg vanilla,tub;scoop,2,2,12,12,24,24,yes,none,none,,fixtures/receiving/UNIT-0061_pallet.jpg;fixtures/receiving/UNIT-0061_carton.jpg;fixtures/receiving/UNIT-0061_unit.jpg,op_chen,2026-06-09T14:28:00Z
RCV-0062,UNIT-0062,org_demo_alpha,PO-7015,3,Supplier North (DUMMY),SKU-SERUM-30,B0DUMMY031,Vitamin C Face Serum 30ml,amber,30ml,bottle;dropper;leaflet,2,2,24,24,48,48,yes,none,none,,fixtures/receiving/UNIT-0062_pallet.jpg;fixtures/receiving/UNIT-0062_carton.jpg;fixtures/receiving/UNIT-0062_unit.jpg,op_eli,2026-06-09T02:27:00Z
RCV-0063,UNIT-0063,org_demo_bravo,PO-7015,4,Supplier East (DUMMY),SKU-LEASH-6FT,B0DUMMY205,Nylon Dog Leash,red,6ft,leash,1,1,12,12,12,12,yes,water,none,,fixtures/receiving/UNIT-0063_pallet.jpg;fixtures/receiving/UNIT-0063_carton.jpg;fixtures/receiving/UNIT-0063_unit.jpg,op_amira,2026-06-06T08:06:00Z
RCV-0064,UNIT-0064,org_demo_alpha,PO-7016,1,Supplier Coastal (DUMMY),SKU-BOTTLE-750,B0DUMMY622,Steel Water Bottle,black,750ml,bottle;lid,4,4,12,11,48,44,yes,none,none,,fixtures/receiving/UNIT-0064_pallet.jpg;fixtures/receiving/UNIT-0064_carton.jpg;fixtures/receiving/UNIT-0064_unit.jpg,op_fatima,2026-06-08T22:33:00Z
RCV-0065,UNIT-0065,org_demo_alpha,PO-7016,2,Supplier North (DUMMY),SKU-LAMP-LED,B0DUMMY357,LED Desk Lamp,grey,standard,lamp;usb cable;manual,1,1,6,6,6,6,yes,none,none,,fixtures/receiving/UNIT-0065_pallet.jpg;fixtures/receiving/UNIT-0065_carton.jpg;fixtures/receiving/UNIT-0065_unit.jpg,op_amira,2026-06-08T01:40:00Z
RCV-0066,UNIT-0066,org_demo_bravo,PO-7016,3,Supplier East (DUMMY),SKU-LAMP-LED,B0DUMMY357,LED Desk Lamp,grey,standard,lamp;usb cable;manual,2,2,6,6,12,12,yes,none,none,,fixtures/receiving/UNIT-0066_pallet.jpg;fixtures/receiving/UNIT-0066_carton.jpg;fixtures/receiving/UNIT-0066_unit.jpg,op_eli,2026-06-09T09:28:00Z
